340028465709212,009250698176266,2012-02-08 06:04:13.0,05/13,United States,Barberton
340054675199675,835873341185231,2017-03-10 09:24:44.0,03/17,United States,Fort Dodge
340082915339645,512969555857346,2014-02-15 06:30:30.0,07/14,United States,Graham
340134186926007,887711945571282,2012-02-05 01:21:58.0,02/13,United States,Dix Hills
340265728490548,680324265406190,2014-03-29 07:49:14.0,11/14,United States,Rancho Cucamonga
340268219434811,929799084911715,2012-07-08 02:46:08.0,08/12,United States,San Francisco
340379737226464,089615510858348,2010-03-10 00:06:42.0,09/10,United States,Clinton
340383645652108,181180599313885,2012-02-24 05:32:44.0,10/16,United States,West New York
340803866934451,417664728506297,2015-05-21 04:30:45.0,08/17,United States,Beaverton
340889618969736,459292914761635,2013-04-23 08:40:11.0,11/15,United States,West Palm Beach
340924125838453,188119365574843,2011-04-12 04:28:47.0,12/13,United States,Scottsbluff
341005627432127,872138964937565,2013-09-08 03:16:50.0,02/17,United States,Chillum
341029651579925,974087224071871,2011-01-14 00:20:25.0,08/12,United States,Valley Station
341311317050937,561687420200207,2014-03-18 06:23:23.0,02/15,United States,Vincennes
341344252914274,695906467918552,2012-03-02 03:21:01.0,03/13,United States,Columbine
341363858179050,009190444424572,2012-02-19 05:16:44.0,04/14,United States,Cheektowaga
341519629171378,533670008048847,2013-05-13 07:59:32.0,01/15,United States,Centennial
341641153427489,230523184584316,2013-03-25 08:51:18.0,11/15,United States,Colchester
341719092861087,304847505155781,2015-12-06 08:06:35.0,11/17,United States,Vernon Hills
341722035429601,979218131207765,2015-12-22 10:46:23.0,01/17,United States,Elk Grove Village
341724964458347,210778177559185,2011-02-07 01:43:13.0,03/14,United States,Fond du Lac
341920010925925,185524819205415,2010-11-15 00:57:15.0,10/16,United States,Roosevelt
342016727481601,329679840450294,2015-02-15 06:56:32.0,10/16,United States,Oakdale
342048672911139,409346767454057,2011-03-03 10:41:02.0,08/12,United States,Winter Springs
342106756753728,439669104078192,2013-11-25 02:05:46.0,03/14,United States,Pittsburg
342136378319429,756971727303005,2016-01-09 01:19:50.0,10/17,United States,Superior
342341653931950,569294535026544,2014-09-06 12:16:48.0,10/14,United States,Woodstock
342400733369183,557238536043272,2016-03-01 07:30:53.0,08/17,United States,Derry
342409040326783,093291208532654,2015-05-02 10:06:45.0,04/16,United States,Key West
342541202178377,228647326620185,2013-12-28 05:34:26.0,04/15,United States,Taylors
342659393657862,075642075917789,2016-02-10 07:27:55.0,07/17,United States,Norman
342679959520647,328980632419725,2017-06-20 06:30:36.0,07/17,United States,Oklahoma City
342684196338179,329884605707231,2011-11-11 03:06:15.0,08/13,United States,Lisle
342853996970884,683933065094215,2011-11-04 12:32:30.0,02/14,United States,Bradley
342894449456021,645003407215198,2015-07-15 01:27:46.0,04/17,United States,Olive Branch
342917304031089,110913209929562,2015-01-02 09:32:57.0,03/16,United States,Arvada
342966201267661,015777120121252,2010-06-10 07:32:59.0,10/14,United States,Branford
